X, Y, Class
-17.382487,16.286803,1.000000,1.000000
-28.124436,6.090674,2.000000,1.000000
12.750875,-8.756522,6.000000,1.000000
-0.007591,0.262829,8.000000,1.000000
-29.260982,5.492186,0.000000,1.000000
8.320339,6.069218,16.000000,1.000000
-1.148392,-6.969902,7.000000,1.000000
1.143453,24.430295,2.000000,1.000000
-7.597910,5.808823,21.000000,1.000000
14.528551,12.488234,22.000000,1.000000
-0.063762,-24.280548,12.000000,1.000000
-1.343537,-13.164919,23.000000,1.000000
-26.840189,7.097076,4.000000,1.000000
-4.382376,-15.541261,9.000000,1.000000
1.886680,-21.933444,26.000000,1.000000
3.807889,8.820565,7.000000,1.000000
-8.741337,11.645550,7.000000,1.000000
-31.184198,10.002858,8.000000,1.000000
-24.948730,6.071589,2.000000,1.000000
-9.786592,7.828421,21.000000,1.000000
14.379153,-25.432068,3.000000,1.000000
5.789407,9.118971,7.000000,1.000000
5.843114,10.298447,7.000000,1.000000
12.472405,-26.614102,3.000000,1.000000
6.604395,7.306542,16.000000,1.000000
3.584721,-21.826860,0.000000,1.000000
32.084165,-0.904287,12.000000,1.000000
-12.229391,-14.712056,17.000000,1.000000
33.250291,-2.315265,12.000000,1.000000
-7.940174,-2.037567,3.000000,1.000000
17.567084,-12.352764,29.000000,1.000000
18.410537,18.298060,27.000000,1.000000
17.044540,11.849127,22.000000,1.000000
-18.585567,6.039430,9.000000,1.000000
-29.751564,3.791219,2.000000,1.000000
-16.349815,-1.287422,1.000000,1.000000
-8.382855,5.387453,21.000000,1.000000
16.690568,0.326074,27.000000,1.000000
-31.576456,2.397890,2.000000,1.000000
-3.934564,-16.763935,14.000000,1.000000
-14.369494,-3.218359,1.000000,1.000000
20.236896,-19.160450,12.000000,1.000000
-14.681009,-6.054718,1.000000,1.000000
17.834583,-5.766064,22.000000,1.000000
-11.411724,-17.148553,7.000000,1.000000
-10.313058,-2.213216,1.000000,1.000000
14.484976,-1.400986,27.000000,1.000000
16.204069,22.379268,30.000000,1.000000
-13.531860,-3.942418,1.000000,1.000000
8.131532,9.141948,21.000000,1.000000
15.593479,-11.764688,29.000000,1.000000
13.061228,8.300007,22.000000,1.000000
11.743677,-9.019946,26.000000,1.000000
33.509582,-1.013933,12.000000,1.000000
31.471651,0.589251,12.000000,1.000000
1.346800,-2.736514,18.000000,1.000000
10.498124,2.838044,22.000000,1.000000
4.796323,16.042527,16.000000,1.000000
19.152981,-14.040439,18.000000,1.000000
14.231841,18.885048,22.000000,1.000000
12.055246,21.798550,30.000000,1.000000
0.000757,-17.699693,22.000000,1.000000
-29.653217,2.852832,11.000000,1.000000
5.504172,-20.278427,3.000000,1.000000
9.619469,-8.844758,22.000000,1.000000
15.012891,-8.755036,13.000000,1.000000
14.579641,20.086210,30.000000,1.000000
7.534367,-17.801343,3.000000,1.000000
4.836455,-13.726456,3.000000,1.000000
-7.658166,-8.059920,3.000000,1.000000
0.141019,-10.232561,15.000000,1.000000
7.778396,-20.272525,3.000000,1.000000
-1.542693,-3.764412,11.000000,1.000000
-19.451292,-9.113350,18.000000,1.000000
-16.532475,-26.063787,11.000000,1.000000
3.584831,-21.826825,21.000000,1.000000
-6.290101,-20.779781,13.000000,1.000000
16.812405,19.582194,30.000000,1.000000
-19.257451,19.176633,1.000000,1.000000
-30.870120,5.177444,2.000000,1.000000
27.486990,12.099200,22.000000,1.000000
8.120006,-5.525693,20.000000,1.000000
-9.097153,-28.451525,13.000000,1.000000
-6.416780,-25.476857,13.000000,1.000000
-10.933170,8.160579,10.000000,1.000000
-6.332163,-25.949623,3.000000,1.000000
-0.250461,-21.493384,18.000000,1.000000
33.191888,0.966035,12.000000,1.000000
9.183866,-1.006346,19.000000,1.000000
-13.930568,9.986573,2.000000,1.000000
-10.924923,-9.474715,24.000000,1.000000
-17.060843,-26.400122,4.000000,1.000000
16.966279,-4.953152,22.000000,1.000000
0.787046,-5.631001,18.000000,1.000000
3.488091,-20.241256,3.000000,1.000000
-9.136663,-28.476898,13.000000,1.000000
11.434873,-19.059660,3.000000,1.000000
8.807166,-1.107131,11.000000,1.000000
12.445892,2.876313,21.000000,1.000000
-13.002496,-5.995891,1.000000,1.000000
11.905292,-18.399070,18.000000,1.000000
9.609875,-10.875333,29.000000,1.000000
2.807687,-23.478883,3.000000,1.000000
-15.063289,-4.981039,1.000000,1.000000
-18.995892,17.183303,1.000000,1.000000
-3.063033,11.695760,27.000000,1.000000
2.201407,-33.412126,5.000000,1.000000
15.537433,5.334460,27.000000,1.000000
-6.282982,9.942842,16.000000,1.000000
-20.246756,15.077499,1.000000,1.000000
-20.743942,17.061162,1.000000,1.000000
-2.185015,13.010577,27.000000,1.000000
-5.615530,9.193525,16.000000,1.000000
-17.904037,27.477761,24.000000,1.000000
-2.064238,2.656748,25.000000,1.000000
-11.718725,0.158673,1.000000,1.000000
4.544229,8.496449,7.000000,1.000000
-18.442169,15.022628,1.000000,1.000000
-28.979088,6.028799,2.000000,1.000000
-5.375619,5.050464,32.000000,1.000000
21.353015,-3.931620,6.000000,1.000000
3.024725,-13.831660,9.000000,1.000000
7.139857,-17.620725,3.000000,1.000000
4.944415,-22.725799,7.000000,1.000000
1.127855,6.468552,11.000000,1.000000
-4.455193,-6.305935,3.000000,1.000000
11.488213,-14.993486,20.000000,1.000000
13.181546,-10.937528,21.000000,1.000000
-9.329071,-17.790398,14.000000,1.000000
-15.661126,13.358541,29.000000,1.000000
2.710454,-9.694274,18.000000,1.000000
-17.015729,-14.789647,1.000000,1.000000
18.280559,-7.340341,22.000000,1.000000
-1.103681,2.021168,25.000000,1.000000
-10.891024,-17.715761,7.000000,1.000000
12.110762,19.889136,30.000000,1.000000
21.476300,4.884829,5.000000,1.000000
5.063798,-5.461919,12.000000,1.000000
14.571870,-11.746650,21.000000,1.000000
-9.375930,-14.130969,7.000000,1.000000
-13.131809,5.026277,6.000000,1.000000
-1.484583,8.813327,30.000000,1.000000
9.282295,12.150218,21.000000,1.000000
-3.979563,-13.789889,29.000000,1.000000
-0.069651,18.352731,7.000000,1.000000
3.722808,0.791852,11.000000,1.000000
-0.441254,10.724866,2.000000,1.000000
8.535256,23.996675,30.000000,1.000000
6.952818,-15.219114,3.000000,1.000000
-20.400446,21.743500,2.000000,1.000000
5.966787,-14.621402,3.000000,1.000000
2.345776,10.977489,22.000000,1.000000
-2.507759,1.127973,25.000000,1.000000
13.568019,-22.836571,3.000000,1.000000
-0.172132,-27.791116,24.000000,1.000000
18.701768,-7.344559,22.000000,1.000000
-27.850778,4.182388,2.000000,1.000000
14.482199,-24.821800,3.000000,1.000000
-9.401251,-21.349437,31.000000,1.000000
10.008635,-21.465946,3.000000,1.000000
-8.253409,1.993233,21.000000,1.000000
6.872435,-24.885447,12.000000,1.000000
-11.554017,-19.127933,7.000000,1.000000
3.644855,-5.624378,3.000000,1.000000
-32.070057,5.720843,2.000000,1.000000
12.971047,20.975791,30.000000,1.000000
3.985860,-17.411616,21.000000,1.000000
16.516616,11.404308,22.000000,1.000000
-12.257363,-3.203523,1.000000,1.000000
-12.896523,-17.663845,7.000000,1.000000
-29.914823,7.804532,2.000000,1.000000
-26.089582,-0.089983,2.000000,1.000000
12.879946,24.067959,30.000000,1.000000
10.570969,20.274188,30.000000,1.000000
9.404875,-11.504514,20.000000,1.000000
-6.979930,-4.091167,2.000000,1.000000
18.955338,14.997902,22.000000,1.000000
13.719452,-28.232634,3.000000,1.000000
27.527662,13.191679,22.000000,1.000000
16.461484,14.286818,22.000000,1.000000
